X.Chr01.	X.0.	X.lob0_bic1.	X.12.	X.0.233615513369538.	X.0.0415035040192018.	NA_character_.	NA_character_..1	NA_character_..2
Chr01	0	lob0_bic1	12	0.233615513369538	0.0415035040192018	NA	NA	NA
Chr01	1e+05	lob0_bic1	10	0.0357673207556268	0.0127077416874174	NA	NA	NA
Chr01	2e+05	lob0_bic1	9	-0.0869592553125595	0.0107248225889243	0.226211472243218	1	0
Chr01	3e+05	lob0_bic1	58	0.00696480062415392	0.00151566013658372	0.037621555946594	0.99742573461622	0
Chr01	4e+05	lob0_bic1	53	0.0283041467113921	0.00141565250308226	0.333826536596051	1	0
Chr01	5e+05	lob0_bic1	36	0.0911101725623296	0.0504508283014422	0.148189986953387	0.999999999999865	0
Chr01	6e+05	lob0_bic1	39	0.245553498434695	0.0334178630834287	0.38954850417883	1	0
Chr01	7e+05	lob0_bic1	41	-0.130351391414372	0.0134962424098422	0.219172979008504	0.999999999999998	0
Chr01	8e+05	lob0_bic1	28	-0.0973985379329314	0.00727792398681663	0.678934405296839	1	0
Chr01	9e+05	lob0_bic1	126	0.0379069301841121	0.00826363232924949	0.266003114043759	0.9999999999393	0
Chr01	1e+06	lob0_bic1	210	0.0142754612350782	0.00312737251935509	0.136303930039567	0.953349689238134	0
Chr01	1100000	lob0_bic1	137	-0.0205874703766909	0.0116568252124706	0.229771205722142	0.999999999997764	0
Chr01	1200000	lob0_bic1	258	-0.00609539694002081	0.000442771830344233	0.296712394668733	0.970775924078351	0
Chr01	1300000	lob0_bic1	88	0.139300970619876	0.0474678246186299	0.525510638225972	1	0
Chr01	1400000	lob0_bic1	47	0.0557812609552089	0.0111716810187988	0.115621786448176	0.999976960596502	0
Chr01	1500000	lob0_bic1	141	-0.031371842395788	0.00479800546782087	0.222489208792404	0.999983702675099	0
Chr01	1600000	lob0_bic1	273	0.0213739063115785	0.0048464138801008	0.581336064662255	0.999999873591314	0
Chr01	1700000	lob0_bic1	364	0.0197322808803277	0.00762319772960216	0.509968848004973	0.653706228334361	0
Chr01	1800000	lob0_bic1	272	0.0202352171732375	0.00434525729635624	0.701170626332443	0.999999996977699	0
Chr01	1900000	lob0_bic1	277	0.01092733461379	0.001131570014527	0.666617476204398	0.999999999343995	0
Chr01	2e+06	lob0_bic1	184	0.090937271857474	0.0212020778255853	0.36089788234162	0.997769602091558	0
Chr01	2100000	lob0_bic1	125	0.0096979259174888	0.00112167620809639	0.276264048044583	0.999999999998632	0
Chr01	2200000	lob0_bic1	45	-0.043391676815731	0.0204164558767736	0.135174873201974	0.999999999999708	0
Chr01	2300000	lob0_bic1	25	0.0776658950610092	0.0423670899697872	0.164356896089355	1	0
Chr01	2400000	lob0_bic1	45	-0.0110475132528739	0.000591587895499512	0.0786075530601456	0.998926426340743	0
Chr01	2500000	lob0_bic1	22	-0.0567794013441082	0.00412799116376785	0.228660842770566	1	0
Chr01	2600000	lob0_bic1	25	0.027001544445654	0.00801456305701957	0.225583016226109	1	0
Chr01	2700000	lob0_bic1	111	0.268518345836464	0.0651778647227332	0.284986452649385	0.999970091291901	0
Chr01	2800000	lob0_bic1	4	0.17442146236143	0.0186187248155539	0.415123456790123	1	0
Chr01	2900000	lob0_bic1	44	-0.418068985889488	0.128993448357276	0.25226378194138	1	0
Chr01	3e+06	lob0_bic1	99	0.301876227682981	0.151738438669164	0.307692101587996	0.999999999999923	0
Chr01	3100000	lob0_bic1	41	-0.0012305784043222	5.46295226870925e-06	0.341548191029363	1	0
Chr01	3200000	lob0_bic1	200	0.053765302362979	0.0246129476443699	0.271639195176301	0.989363356944878	0
Chr01	3300000	lob0_bic1	73	0.0219101409386254	0.00616483892237454	0.320608242282606	1	0
Chr01	3400000	lob0_bic1	191	0.0213051782161547	0.00558403632925474	0.471822883570945	0.999999999796451	0
Chr01	3500000	lob0_bic1	71	0.108247570557976	0.0357805383856694	0.202446528522997	0.999999965865166	0
Chr01	3600000	lob0_bic1	75	0.075102430929745	0.00823128627296933	0.435701547423807	1	0
Chr01	3700000	lob0_bic1	164	0.0649051347287032	0.0201892378908823	0.400993594761266	0.999999999963213	0
Chr01	3800000	lob0_bic1	71	0.0162888305694983	0.000515712384428829	0.635599902876981	1	0
Chr01	3900000	lob0_bic1	332	0.0567065243630016	0.00464978304748116	0.567174866609246	0.575056515418415	0
Chr01	4e+06	lob0_bic1	110	0.0713536705530204	0.0307327645829837	0.228642341570152	0.999997593862725	0
Chr01	4100000	lob0_bic1	157	-0.0476425340197473	0.0052002107352618	0.355718538583861	0.999992201660015	0
Chr01	4200000	lob0_bic1	82	-0.0217748783779644	0.00384810645487767	0.595664902399224	1	0
Chr01	4300000	lob0_bic1	99	-0.0594482304419147	0.00714301490134283	0.348484515646992	0.999999999999984	0
Chr01	4400000	lob0_bic1	11	0.207530689677889	0.0405146671087815	0.339013719966101	1	0
Chr01	4500000	lob0_bic1	25	0.0894985637329982	0.0279062354601023	0.0868758495932409	0.999998518233203	0
