X.Chr01.	X.0.	X.alb0_bic1.	X.13.	X.0.175129434112696.	X.0.0147614887672586.	X.0.259965211155687.	X.1.	X.0..1
Chr01	0	alb0_bic1	13	0.175129434112696	0.0147614887672586	0.259965211155687	1	0
Chr01	1e+05	alb0_bic1	3	-0.0195235005726949	0.000140042645014378	NA	NA	NA
Chr01	2e+05	alb0_bic1	5	0.0206828594164251	0.000518337780006159	0.327910052910053	1	0
Chr01	3e+05	alb0_bic1	4	0.111752963626891	0.0141312598575239	0.243606701940035	1	0
Chr01	4e+05	alb0_bic1	28	0.12589040536936	0.0122443980606829	0.470968379568715	1	0
Chr01	5e+05	alb0_bic1	37	-0.125884986038936	0.0262866567543536	0.21249470277132	0.999999999999997	0
Chr01	6e+05	alb0_bic1	92	-0.0101449535803031	5.1791549497005e-05	0.368620125832045	0.999999999999962	0
Chr01	7e+05	alb0_bic1	23	-0.0196196586864371	0.000373073314528	0.490039864201558	1	0
Chr01	8e+05	alb0_bic1	34	-0.0870648401470598	0.00698630601723381	0.601876992303787	1	0
Chr01	9e+05	alb0_bic1	116	-0.0256702225476912	0.00221361698668047	0.309454606435289	0.99999999993914	0
Chr01	1e+06	alb0_bic1	124	-0.073967684931191	0.0186097283939834	0.241462298101412	0.999743009044349	0
Chr01	1100000	alb0_bic1	130	-0.109098107470997	0.0444559467850767	0.169659320254847	0.971711465187366	0
Chr01	1200000	alb0_bic1	173	-0.0135908318447225	0.00117337727501344	0.410523493178629	0.999993830366871	0
Chr01	1300000	alb0_bic1	155	0.0316688730017665	0.00747998902070878	0.272567427698934	0.99995726024758	0
Chr01	1400000	alb0_bic1	49	0.017461498027087	0.00219660946856619	0.137187134784808	0.999999943134832	0
Chr01	1500000	alb0_bic1	83	-0.0104135433761702	0.00474755580191943	0.120830572537387	0.999999908496199	0
Chr01	1600000	alb0_bic1	217	0.0161849582214125	0.00336579087511611	0.605897194779656	1	0
Chr01	1700000	alb0_bic1	384	0.00948218788505577	0.00152914273277758	0.514755778606691	0.38728367948187	2
Chr01	1800000	alb0_bic1	289	-0.0266988327193959	0.00746039850106376	0.681878273396683	0.99789796294217	0
Chr01	1900000	alb0_bic1	385	-0.0191858572473575	0.0028375723007778	0.537086961474903	0.395089996206364	14
Chr01	2e+06	alb0_bic1	125	0.0445340521347029	0.00469761168334549	0.487209696190235	1	0
Chr01	2100000	alb0_bic1	86	-0.0479693252181131	0.011686399055817	0.278936139011214	0.999999999895037	0
Chr01	2200000	alb0_bic1	7	0.00669461358049226	3.78438579720799e-05	0.30098261526833	1	0
Chr01	2300000	alb0_bic1	4	0.122099029830411	0.00879211593616638	0.363536155202822	1	0
Chr01	2400000	alb0_bic1	1	-0.341501279385482	0.0179901734755015	NA	NA	NA
Chr01	2500000	alb0_bic1	6	0.317296610050223	0.062919207319994	0.290388007054674	1	0
Chr01	2600000	alb0_bic1	3	-0.0391115128202541	0.000690046281594745	NA	NA	NA
Chr01	2700000	alb0_bic1	16	-0.204588570177769	0.0407892693643064	0.732006100160862	1	0
Chr01	2800000	alb0_bic1	4	-0.0561102572371662	0.00139877138052503	0.247134038800705	1	0
Chr01	2900000	alb0_bic1	1	0.303117842454704	0.0170495281755433	0.298941798941799	1	0
Chr01	3e+06	alb0_bic1	23	0.400272657988021	0.132520729412832	0.672303523609939	1	0
Chr01	3100000	alb0_bic1	18	0.0228382465014226	0.00127067973607986	0.412240204723865	1	0
Chr01	3200000	alb0_bic1	159	0.0472497074124452	0.0098043558129089	0.29820409143376	0.995256177020643	0
Chr01	3300000	alb0_bic1	66	0.0461460435140453	0.00961325924292785	0.155370435648504	0.999981416871719	0
Chr01	3400000	alb0_bic1	151	0.0346243084279294	0.0114400003019773	0.473940233269876	1	0
Chr01	3500000	alb0_bic1	63	0.0907582427043322	0.0104405628973843	0.359263914855743	1	0
Chr01	3600000	alb0_bic1	161	-0.0969353163676069	0.0108087777958883	0.564440399316105	1	0
Chr01	3700000	alb0_bic1	80	0.0218952623586837	0.00469664154542566	0.359606113359433	1	0
Chr01	3800000	alb0_bic1	59	0.0132016307671895	0.000580863746111817	0.679381999072983	1	0
Chr01	3900000	alb0_bic1	157	0.0552040120812954	0.00413288663519578	0.598798160017081	1	0
Chr01	4e+06	alb0_bic1	14	0.0114518770576164	0.000132210702806535	0.243251574997607	1	0
Chr01	4100000	alb0_bic1	89	-0.144156900304807	0.0166127253574398	0.500686349078261	1	0
Chr01	4200000	alb0_bic1	112	0.0826832101214942	0.0235442911076488	0.589426056195152	1	0
Chr01	4300000	alb0_bic1	30	0.0574993444938928	0.00261809605859793	0.58782656136739	1	0
Chr01	4400000	alb0_bic1	9	0.0413061285851492	0.000799657330110173	0.516358024691358	1	0
Chr01	4500000	alb0_bic1	106	0.0435100056309773	0.0117559614036274	0.0545975901432942	0.964622452952417	7
Chr01	4600000	alb0_bic1	60	0.294757442358072	0.0725410763026642	0.222631422463385	0.999999999030066	0
Chr01	4700000	alb0_bic1	53	0.0607484189013621	0.0450952162097959	0.141382099450747	0.999999995994414	0
Chr01	4800000	alb0_bic1	260	0.0302984284772085	0.0153352867870335	0.541145982365744	0.999971512424949	0
Chr01	4900000	alb0_bic1	18	-0.0386770269540518	0.00739513837623242	0.15916076307066	1	0
Chr01	5e+06	alb0_bic1	219	0.02086210097353	0.00213801651490141	0.105819093232466	0.794037086393375	11
Chr01	5100000	alb0_bic1	192	0.0165142763796547	0.0128577572623325	0.167533623153792	0.999347646878492	0
Chr01	5200000	alb0_bic1	5	0.134268453890184	0.017105760128078	0.164902998236332	1	0
Chr01	5300000	alb0_bic1	13	-0.0331802538796227	0.00146849325375405	0.117253381539096	0.999999999999956	0
