X.Chr01.	X.0.	X.mue0_bic1.	X.5.	X.0.21551393334702.	X.0.0123826755178884.	NA_character_.	NA_character_..1	NA_character_..2
Chr01	0	mue0_bic1	5	0.21551393334702	0.0123826755178884	NA	NA	NA
Chr01	2e+05	mue0_bic1	1	-0.311160063014601	0.0270754347824589	NA	NA	NA
Chr01	3e+05	mue0_bic1	1	-0.344259044938144	0.0291156090022988	NA	NA	NA
Chr01	4e+05	mue0_bic1	8	0.0954098909525409	0.0107798860348918	0.63097442680776	1	0
Chr01	5e+05	mue0_bic1	11	-0.46378660608244	0.054182807684997	0.447635080968414	1	0
Chr01	6e+05	mue0_bic1	54	-0.0624889687553519	0.00115764091075741	0.451268699039781	1	0
Chr01	7e+05	mue0_bic1	25	-0.228418661005628	0.0174886395322589	0.213480024180507	1	0
Chr01	8e+05	mue0_bic1	30	-0.152892290146715	0.0101115890420904	0.804175399664361	1	0
Chr01	9e+05	mue0_bic1	30	-0.105598476372587	0.00924025166961019	0.809756772654215	1	0
Chr01	1e+06	mue0_bic1	43	0.0932204062564975	0.00884998284832545	0.493392140084596	1	0
Chr01	1100000	mue0_bic1	38	-0.205176768888171	0.0338253950454992	0.560428753879506	1	0
Chr01	1200000	mue0_bic1	54	-0.0610882788335985	0.011352951554781	0.939965402380999	1	0
Chr01	1300000	mue0_bic1	52	0.132820296725894	0.0174758330422029	0.662196480389989	1	0
Chr01	1400000	mue0_bic1	4	-0.377245796301692	0.109492991001422	NA	NA	NA
Chr01	1500000	mue0_bic1	16	0.0489515488528592	0.00382514050581536	0.558873093396903	1	0
Chr01	1600000	mue0_bic1	137	0.0196828357295338	0.00229537696320956	0.932832229282877	1	0
Chr01	1700000	mue0_bic1	113	-0.0311522117631621	0.0082027389623219	0.967836898739226	1	0
Chr01	1800000	mue0_bic1	172	-0.0418324050782666	0.015146773275646	0.97000209435081	1	0
Chr01	1900000	mue0_bic1	151	-0.0738273177996716	0.0224272514296853	0.935675125555995	1	0
Chr01	2e+06	mue0_bic1	64	0.0673980233968528	0.0155441326277052	0.727197495231221	1	0
Chr01	2100000	mue0_bic1	14	-0.0724515082869118	0.00761862014084877	0.919709479233289	1	0
Chr01	2200000	mue0_bic1	8	-0.322884240068107	0.0325645872796825	0.652387251196775	1	0
Chr01	2300000	mue0_bic1	1	-0.0707335390356873	0.00572933030571403	NA	NA	NA
Chr01	2400000	mue0_bic1	1	-0.341501279385482	0.0179901734755015	NA	NA	NA
Chr01	2600000	mue0_bic1	5	0.152246582627693	0.0182905318416564	0.584920634920635	1	0
Chr01	2700000	mue0_bic1	30	0.08932642589554	0.0144677372365722	0.564182399226187	1	0
Chr01	2800000	mue0_bic1	2	-0.0827308957427878	0.00208664061268165	NA	NA	NA
Chr01	2900000	mue0_bic1	6	0.387994755172632	0.0624023814189937	0.244179894179894	1	0
Chr01	3e+06	mue0_bic1	16	0.302097114141754	0.072911480345248	0.651263830232084	1	0
Chr01	3200000	mue0_bic1	48	0.121222553523509	0.0202334723266773	0.756691733649718	1	0
Chr01	3300000	mue0_bic1	58	0.0878570544540094	0.0157595667466936	0.329709137233748	1	0
Chr01	3400000	mue0_bic1	65	0.0143898710721309	0.00145378597598071	0.888224757067593	1	0
Chr01	3500000	mue0_bic1	15	-0.195086101685038	0.0190623940953572	0.639312363121887	1	0
Chr01	3600000	mue0_bic1	108	-0.161160992007515	0.0143052580017213	0.762285514470292	1	0
Chr01	3700000	mue0_bic1	29	0.0294409826652869	0.00390934639853612	0.840239905695797	1	0
Chr01	3800000	mue0_bic1	33	0.0433025078375608	0.00379924908464427	0.750237536680954	1	0
Chr01	3900000	mue0_bic1	128	0.0462819625736558	0.00153182501702666	0.849359582440348	1	0
Chr01	4e+06	mue0_bic1	22	-0.00579811468084388	4.58466090270901e-05	0.626027580977456	1	0
Chr01	4100000	mue0_bic1	35	0.12433083604782	0.0377325616822162	0.88415040479119	1	0
Chr01	4200000	mue0_bic1	47	0.0942491427930846	0.0308247648428983	0.90136567818668	1	0
Chr01	4300000	mue0_bic1	31	0.0162699009173046	0.000202384265459473	0.531343042065475	1	0
Chr01	4400000	mue0_bic1	17	0.0184935674057428	0.000136163031137627	0.422963307959807	1	0
Chr01	4500000	mue0_bic1	13	-0.176680502278363	0.0144576217346294	0.463288827574542	1	0
Chr01	4600000	mue0_bic1	27	0.483577917778638	0.0824551383571725	0.40424650139626	1	0
Chr01	4700000	mue0_bic1	13	0.069659450472461	0.0097464066567613	0.531435591157813	1	0
Chr01	4800000	mue0_bic1	140	0.0333996390511257	0.0101562026253589	0.977033429207385	1	0
Chr01	4900000	mue0_bic1	16	0.0578412137194048	0.0118147401314002	0.939480250789775	1	0
Chr01	5e+06	mue0_bic1	14	0.153868227757439	0.0402189850055863	0.445864790706061	1	0
Chr01	5100000	mue0_bic1	40	0.0437369536032806	0.00564002016874303	0.783845205846699	1	0
Chr01	5200000	mue0_bic1	13	0.144253218993208	0.0190275795928367	0.272326982247617	1	0
Chr01	5300000	mue0_bic1	41	-0.0633052749942617	0.00369922782995991	0.172222842605696	0.999999811678289	0
Chr01	5400000	mue0_bic1	4	-0.17791423131455	0.00686793851401097	NA	NA	NA
Chr01	5500000	mue0_bic1	10	0.121054246698281	0.00518490795712689	0.372583354329386	1	0
Chr01	5600000	mue0_bic1	52	0.0232010495240801	0.000473110401787845	0.637873729424052	1	0
Chr01	5700000	mue0_bic1	31	-0.00585713790913371	0.000140297911459548	0.689125385969322	1	0
Chr01	5800000	mue0_bic1	17	0.0271927803288041	0.0011950829249727	0.472024049842677	1	0
Chr01	5900000	mue0_bic1	49	0.279177020376828	0.0508603186260562	0.407538873404961	1	0
Chr01	6e+06	mue0_bic1	78	0.0260413399468755	0.00288456789177985	0.777592652817743	1	0
Chr01	6100000	mue0_bic1	90	-0.0272558086035451	0.00299008163753495	0.500543130908661	1	0
Chr01	6200000	mue0_bic1	24	0.626137250303299	0.20091955491183	0.276344137420742	1	0
Chr01	6300000	mue0_bic1	28	0.751497216734369	0.257605964060565	0.459287769183674	1	0
Chr01	6400000	mue0_bic1	79	0.0147698225297628	0.00260901636963994	0.0611272507407061	0.995203457373891	0
Chr01	6500000	mue0_bic1	27	0.350518668568385	0.0824526660996754	0.351302869928434	1	0
Chr01	6600000	mue0_bic1	46	0.719648050840188	0.177356738558973	0.575435872578542	1	0
Chr01	6700000	mue0_bic1	96	0.72491617523025	0.164804363427603	0.618913757965782	1	0
Chr01	6800000	mue0_bic1	24	0.721362406244687	0.175047981118786	0.350307734529612	1	0
Chr01	6900000	mue0_bic1	64	0.890210864912859	0.261345413815209	0.578188238289769	1	0
Chr01	7e+06	mue0_bic1	14	0.0167224544587488	0.000174095117141555	0.459980414940732	1	0
Chr01	7100000	mue0_bic1	29	0.00916994133415887	0.000216618227951279	0.278859248267639	1	0
Chr01	7300000	mue0_bic1	7	-0.14719131235223	0.0206322377808822	0.747845804988662	1	0
Chr01	7400000	mue0_bic1	6	0.112822132628046	0.0436002713270165	0.0675925925925926	0.999999999627245	0
Chr01	7500000	mue0_bic1	5	0.307855014511995	0.0660050483317914	0.289329805996473	1	0
Chr01	7600000	mue0_bic1	2	0.23996251592168	0.0446066555786774	0.436507936507937	1	0
Chr01	7700000	mue0_bic1	15	-0.0587656477467913	0.00935780385073324	0.820699758794997	1	0
Chr01	7900000	mue0_bic1	11	-0.069350794979513	0.00482553720178559	0.636465180909625	1	0
Chr01	8e+06	mue0_bic1	40	0.0871967945904726	0.0294336776646398	0.159836529384787	0.999999998407683	0
