X.Chr01.	X.3e.05.	X.lob0_bic1.	X.58.	X.0.00696480062415392.	X.0.00151566013658372.	X.0.037621555946594.	X.0.0350877192982456.	X.0.240492862547154.	X.0.	X.0.035326290801103.
Chr01	3e+05	lob0_bic1	58	0.00696480062415392	0.00151566013658372	0.037621555946594	0.0350877192982456	0.240492862547154	0	0.035326290801103
Chr01	4e+05	lob0_bic1	53	0.0283041467113921	0.00141565250308226	0.333826536596051	0.333333333333333	0.127117382190967	2	0.148546355538594
Chr01	5e+05	lob0_bic1	36	0.0911101725623296	0.0504508283014422	0.148189986953387	0.129032258064516	0.234554761727912	0	0.0800982419259482
Chr01	6e+05	lob0_bic1	39	0.245553498434695	0.0334178630834287	0.38954850417883	0.479699248120301	0.0431930205421956	24	0.265244906818879
Chr01	7e+05	lob0_bic1	41	-0.130351391414372	0.0134962424098422	0.219172979008504	0.105263157894737	0.052233538562592	50	0.221564155251853
Chr01	8e+05	lob0_bic1	28	-0.0973985379329314	0.00727792398681663	0.678934405296839	0.764615384615384	0.10326480931752	26	0.225444136876999
Chr01	9e+05	lob0_bic1	126	0.0379069301841121	0.00826363232924949	0.266003114043759	0.289596655189375	0.11968530143977	10	0.0823423746777983
Chr01	1e+06	lob0_bic1	210	0.0142754612350782	0.00312737251935509	0.136303930039567	0.132200647249191	0.167245181745478	7	0.0504069716110559
Chr01	1100000	lob0_bic1	137	-0.0205874703766909	0.0116568252124706	0.229771205722142	0.237037037037037	0.307933865403339	1	0.0376533056884783
Chr01	1200000	lob0_bic1	258	-0.00609539694002081	0.000442771830344233	0.296712394668733	0.279352226720648	0.187844947895209	5	0.0572008215504683
Chr01	1300000	lob0_bic1	88	0.139300970619876	0.0474678246186299	0.525510638225972	0.479942948832234	0.0679156796309378	5	0.126253882751537
Chr01	1400000	lob0_bic1	47	0.0557812609552089	0.0111716810187988	0.115621786448176	0.0869565217391304	0.281783410557326	22	0.104212383515679
Chr01	1500000	lob0_bic1	141	-0.031371842395788	0.00479800546782087	0.222489208792404	0.20863309352518	0.101636077999978	2	0.0894334368011274
Chr01	1600000	lob0_bic1	273	0.0213739063115785	0.0048464138801008	0.581336064662255	0.597014925373134	0.20562935130017	9	0.0606266981898109
Chr01	1700000	lob0_bic1	364	0.0197322808803277	0.00762319772960216	0.509968848004973	0.513736263736264	0.225313873166694	4	0.0446271303771542
