X.Chr01.	X.3e.05.	X.lob0_bic1.	X.58.	X.0.00696480062415394.	X.0.00170782913273572.	X.0.037621555946594.	X.0.0350877192982456.	X.0.242627848384148.	X.0.	X.0.0333237216105298.
Chr01	3e+05	lob0_bic1	58	0.00696480062415394	0.00170782913273572	0.037621555946594	0.0350877192982456	0.242627848384148	0	0.0333237216105298
Chr01	4e+05	lob0_bic1	53	0.0283041467113923	0.00177557510878477	0.333826536596051	0.333333333333333	0.150136063937837	1	0.132815132650724
Chr01	5e+05	lob0_bic1	36	0.0911101725623296	0.0557059011932508	0.148189986953387	0.129032258064516	0.250758839305236	0	0.0763278948748508
Chr01	6e+05	lob0_bic1	39	0.245553498434695	0.0416569687183756	0.38954850417883	0.394736842105263	0.0474400390171694	4	0.23788623434744
Chr01	7e+05	lob0_bic1	41	-0.130351391414372	0.017343110654274	0.219172979008504	0.121951219512195	0.0495483175326029	19	0.195712782550656
Chr01	8e+05	lob0_bic1	28	-0.0973985379329314	0.0113419504368342	0.678934405296839	0.75	0.100245081893088	8	0.18083212376045
Chr01	9e+05	lob0_bic1	126	0.0379069301841121	0.0103104175374482	0.266003114043759	0.277422364387578	0.171243140003066	2	0.073815489927178
Chr01	1e+06	lob0_bic1	210	0.0142754612350782	0.00378047810749143	0.136303930039567	0.129186602870813	0.182379869615404	1	0.0459075169335541
Chr01	1100000	lob0_bic1	137	-0.0205874703766907	0.0145082876995463	0.229771205722142	0.237893864013267	0.318651858630364	0	0.0337957372915993
Chr01	1200000	lob0_bic1	258	-0.00609539694002078	0.000549174312727828	0.296712394668733	0.279352226720648	0.173980484629652	2	0.0514296895606126
Chr01	1300000	lob0_bic1	88	0.139300970619876	0.0637949559499495	0.525510638225972	0.533197831978319	0.12217817057665	1	0.109050582396773
Chr01	1400000	lob0_bic1	47	0.0557812609552088	0.0146677442106143	0.115621786448176	0.0909090909090909	0.275362753414506	3	0.0910696528978244
Chr01	1500000	lob0_bic1	141	-0.0313718423957882	0.00542119435020417	0.222489208792404	0.214285714285714	0.128185878009125	1	0.0842479910827298
Chr01	1600000	lob0_bic1	273	0.0213739063115781	0.00586962281745728	0.581336064662255	0.597785977859779	0.21248094465772	5	0.0551627389875655
Chr01	1700000	lob0_bic1	364	0.0197322808803277	0.00951647356963811	0.509968848004973	0.515254757519951	0.237946105775675	3	0.0399950536506777
Chr01	1800000	lob0_bic1	272	0.0202352171732371	0.00671331313828505	0.701170626332443	0.701492537313433	0.195635071029163	3	0.0488322162318412
Chr01	1900000	lob0_bic1	277	0.0109273346137896	0.00186980368062238	0.666617476204398	0.673373195432019	0.287939797629587	5	0.0499669976262591
Chr01	2e+06	lob0_bic1	184	0.0909372718574741	0.0234246480247922	0.36089788234162	0.364130434782609	0.115551152430374	17	0.117482289609671
Chr01	2100000	lob0_bic1	125	0.00969792591748873	0.00145827768026693	0.276264048044583	0.278099173553719	0.213484651084177	1	0.0502141095362268
Chr01	2200000	lob0_bic1	45	-0.0433916768157311	0.0213117382152738	0.135174873201974	0.152547065337763	0.184505055646319	0	0.0587711264168206
Chr01	2300000	lob0_bic1	25	0.0776658950610093	0.0434949940801439	0.164356896089355	0.157894736842105	0.260299720737477	0	0.0736338877899396
Chr01	2400000	lob0_bic1	45	-0.0110475132528742	0.0008184696464244	0.0786075530601456	0.0581395348837209	0.227972493874777	1	0.0763537303782755
Chr01	2500000	lob0_bic1	22	-0.0567794013441081	0.00437976447259005	0.228660842770566	0.181818181818182	0.189170161117621	1	0.169641634707536
Chr01	2600000	lob0_bic1	25	0.0270015444456544	0.0104041354288956	0.225583016226109	0.225	0.346570070670695	0	0.0523422786619934
Chr01	2700000	lob0_bic1	111	0.268518345836463	0.104146967328526	0.284986452649385	0.274774774774775	0.0482695572458737	18	0.164519608280723
Chr01	2900000	lob0_bic1	44	-0.418068985889488	0.174514161462014	0.25226378194138	0.225	0.112030929667312	1	0.197878965534443
Chr01	3e+06	lob0_bic1	99	0.30187622768298	0.158692982111987	0.307692101587996	0.326315789473685	0.0657794131657889	4	0.149836310760708
Chr01	3100000	lob0_bic1	41	-0.00123057840432191	7.88904230470547e-06	0.341548191029363	0.353658536585366	0.238112925991508	0	0.0866291722261966
Chr01	3200000	lob0_bic1	200	0.0537653023629788	0.0371900828773101	0.271639195176301	0.268844221105528	0.209674136053885	3	0.0551258802293636
Chr01	3300000	lob0_bic1	73	0.0219101409386256	0.00788535484841327	0.320608242282606	0.318840579710145	0.280947107141453	0	0.0487867140701358
Chr01	3400000	lob0_bic1	191	0.0213051782161547	0.00770779661918607	0.471822883570945	0.469945355191257	0.226348390683059	0	0.0479829633530104
Chr01	3500000	lob0_bic1	71	0.108247570557976	0.0410210912472174	0.202446528522997	0.180851063829787	0.120980842708499	0	0.105677266526818
Chr01	3600000	lob0_bic1	75	0.075102430929745	0.0104769573418392	0.435701547423807	0.453333333333333	0.102248381989222	4	0.145078622878375
Chr01	3700000	lob0_bic1	164	0.0649051347287033	0.0398983988467407	0.400993594761266	0.387029368913427	0.115456573223122	0	0.0642492910370118
Chr01	3800000	lob0_bic1	71	0.0162888305694977	0.000660039298419069	0.635599902876981	0.659420289855073	0.121939580672079	3	0.125363765017946
Chr01	3900000	lob0_bic1	332	0.0567065243630017	0.00768381037860594	0.567174866609246	0.617469879518072	0.0475390410809828	22	0.127912129100377
Chr01	4e+06	lob0_bic1	110	0.0713536705530206	0.0413165985849902	0.228642341570152	0.214217722395292	0.197498377248397	2	0.0694098420707367
Chr01	4100000	lob0_bic1	157	-0.0476425340197474	0.00622379313553001	0.355718538583861	0.3260452392618	0.106472688302527	18	0.119408239644358
Chr01	4200000	lob0_bic1	82	-0.021774878377964	0.00548215715771501	0.595664902399224	0.598765432098765	0.29237184555291	0	0.0581496379454333
Chr01	4300000	lob0_bic1	99	-0.0594482304419144	0.00971009398635738	0.348484515646992	0.331460674157304	0.121659390964448	4	0.119287306609138
Chr01	4500000	lob0_bic1	25	0.0894985637329982	0.0463440679596936	0.0868758495932409	0.06	0.241522277755007	0	0.0822026857991122
Chr01	4600000	lob0_bic1	53	0.0127440052773296	0.00123012594635345	0.193188933309019	0.182692307692308	0.21479746863095	0	0.0718452682961005
Chr01	4700000	lob0_bic1	151	0.0906366434148257	0.0558387393241039	0.249583471382857	0.248344370860927	0.13931284988633	1	0.0758408216046641
Chr01	4800000	lob0_bic1	299	0.0308227108000603	0.0179357910755561	0.620047125814854	0.616724738675958	0.242285241267266	3	0.0455069345049343
Chr01	4900000	lob0_bic1	144	-0.12174798824687	0.019839862545803	0.223341633874053	0.135416666666667	0.0126677744202244	9	0.170906854821852
Chr01	5e+06	lob0_bic1	31	-0.0120420055186642	0.00144574888797952	0.190372380431306	0.189655172413793	0.272206230472275	0	0.062620914577819
Chr01	5100000	lob0_bic1	118	0.0490509222617104	0.0670262439345869	0.298735880625478	0.29698703279939	0.273855822425504	0	0.0374620685161589
Chr01	5200000	lob0_bic1	42	0.0340108191443168	0.00941004208120702	0.140321775569193	0.135975609756097	0.192217810830693	0	0.0693247523687293
Chr01	5600000	lob0_bic1	66	0.0273736137617122	0.000593132995407503	0.524974038876773	0.620967741935484	0.0330298286622459	6	0.222240451571019
