X.Chr01.	X.4e.05.	X.alb0_bic1.	X.28.	X.0.12589040536936.	X.0.015172374606545.	X.0.470968379568715.	X.0.462962962962963.	X.0.132663509212205.	X.0.	X.0.202084438175428.
Chr01	4e+05	alb0_bic1	28	0.12589040536936	0.015172374606545	0.470968379568715	0.462962962962963	0.132663509212205	0	0.202084438175428
Chr01	5e+05	alb0_bic1	37	-0.125884986038936	0.0290979643060421	0.21249470277132	0.171428571428571	0.0890147217699454	1	0.145918262738488
Chr01	6e+05	alb0_bic1	92	-0.0101449535803025	5.98446935221114e-05	0.368620125832045	0.297872340425532	0.0500433677897313	83	0.259301039832685
Chr01	7e+05	alb0_bic1	23	-0.0196196586864368	0.000447195792357708	0.490039864201558	0.55	0.138766944275184	0	0.183446576509083
Chr01	8e+05	alb0_bic1	34	-0.0870648401470601	0.0103468205774682	0.601876992303787	0.661764705882353	0.113158954571163	6	0.169241305083167
Chr01	9e+05	alb0_bic1	116	-0.0256702225476912	0.00260889533480489	0.309454606435289	0.290178571428572	0.131284125524699	6	0.0993729822470378
Chr01	1e+06	alb0_bic1	124	-0.0739676849311908	0.0210432896598391	0.241462298101412	0.219989423585405	0.110917873721692	8	0.100821284759076
Chr01	1100000	alb0_bic1	130	-0.109098107470996	0.0526878656092838	0.169659320254847	0.168337844488189	0.138927235133422	7	0.0939785915247238
Chr01	1200000	alb0_bic1	173	-0.0135908318447222	0.00141641817129401	0.410523493178629	0.385542168674699	0.162863828682876	2	0.0714031402357718
Chr01	1300000	alb0_bic1	155	0.0316688730017666	0.00941108430656656	0.272567427698934	0.264912280701754	0.147388418945916	1	0.0645475546984992
Chr01	1400000	alb0_bic1	49	0.017461498027087	0.00286457224454931	0.137187134784808	0.122448979591837	0.266500902106394	0	0.0645087500894521
Chr01	1500000	alb0_bic1	83	-0.0104135433761701	0.00558953595266833	0.120830572537387	0.120481927710843	0.299197390837525	0	0.0275408710085749
Chr01	1600000	alb0_bic1	217	0.0161849582214121	0.00514042707570312	0.605897194779656	0.614285714285715	0.325480254288549	4	0.0446353556176006
Chr01	1700000	alb0_bic1	384	0.0094821878850558	0.00190187294828168	0.514755778606691	0.520493920230068	0.215396166212948	4	0.0429917202950181
Chr01	1800000	alb0_bic1	289	-0.0266988327193954	0.0102922168481351	0.681878273396683	0.683274021352313	0.218591837165179	4	0.0520361106057659
Chr01	1900000	alb0_bic1	385	-0.0191858572473575	0.00422804652349081	0.537086961474903	0.537760416666667	0.250498010733083	15	0.0583416016753539
Chr01	2e+06	alb0_bic1	125	0.0445340521347028	0.00528709087374872	0.487209696190235	0.479674796747967	0.109043596205593	7	0.121101868342781
Chr01	2100000	alb0_bic1	86	-0.047969325218113	0.0173864897219937	0.278936139011214	0.270588235294118	0.213543018713243	2	0.0719324202671516
Chr01	3e+06	alb0_bic1	23	0.400272657988021	0.135145185757391	0.672303523609939	0.738095238095238	0.0749585471012954	3	0.215289402829021
Chr01	3200000	alb0_bic1	159	0.0472497074124453	0.0144855209007188	0.29820409143376	0.290223708303479	0.195204369316412	6	0.0776245477168611
Chr01	3300000	alb0_bic1	66	0.0461460435140453	0.0128021302700127	0.155370435648504	0.137645687645687	0.205257025712111	3	0.0806418287622322
Chr01	3400000	alb0_bic1	151	0.0346243084279295	0.0169773088820843	0.473940233269876	0.468531468531469	0.222731603422727	0	0.0525428590186006
Chr01	3500000	alb0_bic1	63	0.0907582427043319	0.011721167386945	0.359263914855743	0.375	0.0883001957384801	0	0.165755390936339
Chr01	3600000	alb0_bic1	161	-0.0969353163676071	0.0124753907602114	0.564440399316105	0.625	0.0477187426749138	39	0.171601852131448
Chr01	3700000	alb0_bic1	80	0.0218952623586835	0.00537104855453259	0.359606113359433	0.350373255436547	0.318696560028217	1	0.0590728102662348
Chr01	3800000	alb0_bic1	59	0.0132016307671895	0.000822802564442341	0.679381999072983	0.701754385964912	0.204576946199111	1	0.0910011292048759
Chr01	3900000	alb0_bic1	157	0.055204012081295	0.00656129742484117	0.598798160017081	0.652866242038217	0.0579011770326887	14	0.134754351256815
Chr01	4100000	alb0_bic1	89	-0.144156900304807	0.0183498574588908	0.500686349078261	0.425287356321839	0.0718494525109682	39	0.210419558815058
Chr01	4200000	alb0_bic1	112	0.0826832101214941	0.0371640953330694	0.589426056195152	0.618181818181818	0.147840025956831	3	0.0848052159743861
Chr01	4300000	alb0_bic1	30	0.0574993444938936	0.00284338553054521	0.58782656136739	0.5	0.0807761384312338	0	0.213212192882166
Chr01	4500000	alb0_bic1	106	0.0435100056309773	0.0197730495161004	0.0545975901432942	0.0380952380952381	0.180001743555712	7	0.0611813886830281
Chr01	4600000	alb0_bic1	60	0.294757442358072	0.10384904464479	0.222631422463385	0.190584415584415	0.123458654057627	14	0.180855010173685
Chr01	4700000	alb0_bic1	53	0.0607484189013622	0.0701682329065843	0.141382099450747	0.134615384615385	0.292457829819077	0	0.0453452423163262
