X.Chr01.	X.4e.05.	X.alb0_bic1.	X.28.	X.0.12589040536936.	X.0.0122443980606829.	X.0.470968379568715.	X.0.481481481481481.	X.0.0921057683350523.	X.1.	X.0.224654011106593.
Chr01	4e+05	alb0_bic1	28	0.12589040536936	0.0122443980606829	0.470968379568715	0.481481481481481	0.0921057683350523	1	0.224654011106593
Chr01	5e+05	alb0_bic1	37	-0.125884986038936	0.0262866567543536	0.21249470277132	0.166666666666667	0.0891445374410691	7	0.153319192787113
Chr01	6e+05	alb0_bic1	92	-0.0101449535803031	5.1791549497005e-05	0.368620125832045	0.296663442940039	0.0251404791560649	208	0.278362595392283
Chr01	7e+05	alb0_bic1	23	-0.0196196586864371	0.000373073314528	0.490039864201558	0.608695652173913	0.104695921868229	0	0.200578611325888
Chr01	8e+05	alb0_bic1	34	-0.0870648401470598	0.00698630601723381	0.601876992303787	0.676470588235294	0.131674071950408	21	0.205688148863036
Chr01	9e+05	alb0_bic1	116	-0.0256702225476912	0.00221361698668047	0.309454606435289	0.281943797546965	0.0986658497064766	16	0.107737938050651
Chr01	1e+06	alb0_bic1	124	-0.073967684931191	0.0186097283939834	0.241462298101412	0.223140495867769	0.106943340437048	21	0.107068636971401
Chr01	1100000	alb0_bic1	130	-0.109098107470997	0.0444559467850767	0.169659320254847	0.126984126984127	0.0600808532922737	16	0.102174506813631
Chr01	1200000	alb0_bic1	173	-0.0135908318447225	0.00117337727501344	0.410523493178629	0.3857535404777	0.171884559692201	5	0.0783461153751536
Chr01	1300000	alb0_bic1	155	0.0316688730017665	0.00747998902070878	0.272567427698934	0.263157894736842	0.103575093623226	3	0.0723056764294504
Chr01	1400000	alb0_bic1	49	0.017461498027087	0.00219660946856619	0.137187134784808	0.109903381642512	0.220566172043697	2	0.0735690822985963
Chr01	1500000	alb0_bic1	83	-0.0104135433761702	0.00474755580191943	0.120830572537387	0.120481927710843	0.29354447675881	0	0.0298437749575344
Chr01	1600000	alb0_bic1	217	0.0161849582214125	0.00336579087511611	0.605897194779656	0.613953488372093	0.325577077100999	5	0.0550881621204099
Chr01	1700000	alb0_bic1	384	0.00948218788505577	0.00152914273277758	0.514755778606691	0.520942408376963	0.199484508321508	5	0.047882278572259
Chr01	1800000	alb0_bic1	289	-0.0266988327193959	0.00746039850106376	0.681878273396683	0.679509986749766	0.206464095246066	5	0.0610381730758941
Chr01	1900000	alb0_bic1	385	-0.0191858572473575	0.0028375723007778	0.537086961474903	0.544973544973545	0.222927081975546	16	0.0711210247983082
Chr01	2e+06	alb0_bic1	125	0.0445340521347029	0.00469761168334549	0.487209696190235	0.467741935483871	0.0924842024979428	14	0.128305100536317
Chr01	2100000	alb0_bic1	86	-0.0479693252181131	0.011686399055817	0.278936139011214	0.264673311184939	0.179629997841981	4	0.087622071930235
Chr01	3e+06	alb0_bic1	23	0.400272657988021	0.132520729412832	0.672303523609939	0.727272727272727	0.0780245794490209	9	0.217122225288862
Chr01	3200000	alb0_bic1	159	0.0472497074124452	0.0098043558129089	0.29820409143376	0.292993630573248	0.221833728653713	27	0.0942279747024594
Chr01	3300000	alb0_bic1	66	0.0461460435140453	0.00961325924292785	0.155370435648504	0.123076923076923	0.144237627691445	5	0.0929371626184046
Chr01	3400000	alb0_bic1	151	0.0346243084279294	0.0114400003019773	0.473940233269876	0.465277777777778	0.21706380715044	3	0.063923177514018
Chr01	3500000	alb0_bic1	63	0.0907582427043322	0.0104405628973843	0.359263914855743	0.380952380952381	0.0946351683824052	12	0.175393860173772
Chr01	3600000	alb0_bic1	161	-0.0969353163676069	0.0108087777958883	0.564440399316105	0.625	0.0591479956248581	72	0.184112808446431
Chr01	3700000	alb0_bic1	80	0.0218952623586837	0.00469664154542566	0.359606113359433	0.350649350649351	0.291595297860163	2	0.0630879929007009
