X.Chr01.	X.0.	X.ste0_bic1.	X.3.	X.0.0850089143067127.	X.0.00103304683087266.	NA_character_.	NA_character_..1	NA_character_..2
Chr01	0	ste0_bic1	3	0.0850089143067127	0.00103304683087266	NA	NA	NA
Chr01	3e+05	ste0_bic1	1	-0.344259044938144	0.0291156090022988	NA	NA	NA
Chr01	4e+05	ste0_bic1	2	-0.0857727575185995	0.00179758155964063	NA	NA	NA
Chr01	5e+05	ste0_bic1	3	-0.282883706563772	0.0490525669864607	0.148148148148148	1	0
Chr01	6e+05	ste0_bic1	1	0.00337048458567871	2.02213574212361e-06	NA	NA	NA
Chr01	7e+05	ste0_bic1	4	-0.153970620597203	0.0224630219454965	0.587522045855379	1	0
Chr01	8e+05	ste0_bic1	7	-0.0708529052478766	0.00589297934858188	0.661067019400353	1	0
Chr01	9e+05	ste0_bic1	9	-0.124413689383944	0.0261299807854556	0.439819014025363	1	0
Chr01	1e+06	ste0_bic1	14	-0.0883016302866084	0.00891646052672611	0.529864227483275	1	0
Chr01	1100000	ste0_bic1	40	-0.175935739039501	0.0204969054617606	0.317720238835527	1	0
Chr01	1200000	ste0_bic1	21	0.0328502854779631	0.00472402592527245	0.530454982512823	1	0
Chr01	1300000	ste0_bic1	17	-0.0176054018529249	0.000659239450733538	0.593186422242211	1	0
Chr01	1400000	ste0_bic1	1	0.235157623434926	0.0195759034675126	NA	NA	NA
Chr01	1500000	ste0_bic1	8	0	NaN	NA	NA	NA
Chr01	1600000	ste0_bic1	187	-0.0287150938533012	0.00724377012024314	0.533647321212109	0.99999878769276	0
Chr01	1700000	ste0_bic1	285	-0.0540117583879789	0.0262658851545211	0.461972626208593	0.978000708962453	3
Chr01	1800000	ste0_bic1	268	0.014091802844508	0.00160784022013897	0.626537034324913	0.994606062517586	0
Chr01	1900000	ste0_bic1	172	-0.0384376678317671	0.00818692084055801	0.857185770816806	1	0
Chr01	2e+06	ste0_bic1	106	0.00773802189082749	0.000283797092676425	0.461825991857926	1	0
Chr01	2100000	ste0_bic1	113	-0.0549710036819751	0.0259760500098584	0.255738809043708	0.999965516920146	0
Chr01	2200000	ste0_bic1	29	0.103740160328191	0.0169317543833277	0.156494183096576	0.999999999999028	0
Chr01	2300000	ste0_bic1	3	0.224292505184257	0.029690428996304	0.600088183421517	1	0
