X.Chr01.	X.1100000.	X.ste0_bic1.	X.40.	X..0.1759357390395.	X.0.0276366181446656.	X.0.317720238835527.	X.0.205128205128205.	X.0.0265638061144134.	X.1.	X.0.209256346469237.
Chr01	1100000	ste0_bic1	40	-0.1759357390395	0.0276366181446656	0.317720238835527	0.205128205128205	0.0265638061144134	1	0.209256346469237
Chr01	1200000	ste0_bic1	21	0.0328502854779632	0.00516871988923706	0.530454982512823	0.55	0.329052924982977	0	0.0903471937003643
Chr01	1600000	ste0_bic1	187	-0.0287150938533009	0.00947926178142486	0.533647321212109	0.52972972972973	0.271961743602166	5	0.0583163050858897
Chr01	1700000	ste0_bic1	285	-0.0540117583879788	0.03412740131266	0.461972626208593	0.457597173144876	0.170509310435287	6	0.0578101004867049
Chr01	1800000	ste0_bic1	268	0.0140918028445079	0.00215377189608681	0.626537034324913	0.623134328358209	0.188607780653126	4	0.0600390377755063
Chr01	1900000	ste0_bic1	172	-0.0384376678317667	0.0135689596765976	0.857185770816806	0.870205360250609	0.193947291059886	5	0.06524553118757
Chr01	2e+06	ste0_bic1	106	0.00773802189082729	0.000322332528520039	0.461825991857926	0.458163463405164	0.178794924376979	1	0.0852206621480675
Chr01	2100000	ste0_bic1	113	-0.054971003681975	0.0414802492599062	0.255738809043708	0.253357903357903	0.25325365147678	0	0.0533678866936328
Chr01	2200000	ste0_bic1	29	0.103740160328191	0.0217534292743497	0.156494183096576	0.111111111111111	0.189268770755707	0	0.139075319887967
Chr01	2500000	ste0_bic1	22	0.286390222110918	0.0725909543122158	0.247946273287506	0.159090909090909	0.0906418737975927	0	0.210176401033879
Chr01	3e+06	ste0_bic1	25	0.156927654079759	0.0795805983769258	0.572050388983974	0.58695652173913	0.232010679043581	0	0.109992456167037
Chr01	3100000	ste0_bic1	39	0.00600757203903595	0.00012791212229989	0.304226227646297	0.283783783783783	0.209130414339473	0	0.105029223016024
Chr01	3200000	ste0_bic1	137	0.0243539186382845	0.00572261263566998	0.338779682676619	0.354014598540146	0.170722421635198	1	0.0636559045493672
Chr01	3300000	ste0_bic1	56	0.0466165572173786	0.0164089466265742	0.401322636092984	0.394781144781145	0.242507634452403	0	0.0719559751093227
Chr01	3400000	ste0_bic1	172	0.0546646291467085	0.0350889402309895	0.427166317047809	0.424418604651163	0.200570849190619	1	0.0577016587552533
Chr01	3500000	ste0_bic1	92	0.0282087123752774	0.00843717130711233	0.158316744837649	0.159340659340659	0.172167983502914	0	0.060722808068005
Chr01	3600000	ste0_bic1	148	-0.0596239386516352	0.00681996367644377	0.468751222404876	0.492908841940532	0.0970411005971216	23	0.142756748713176
Chr01	3700000	ste0_bic1	158	0.00528554201513141	0.0012802481993406	0.325843223851449	0.32906663400294	0.321796290245328	0	0.0292085138506787
Chr01	3800000	ste0_bic1	39	0.0415232028934459	0.0048004965016279	0.609849774605394	0.631578947368421	0.211839454433143	2	0.11849902702391
Chr01	3900000	ste0_bic1	138	0.0635003320330363	0.00727804880742458	0.691671662973299	0.751824817518248	0.0496368529701742	17	0.147175504117539
Chr01	4e+06	ste0_bic1	52	-0.058536188647972	0.0102907196798516	0.197643706318359	0.166666666666666	0.159778015630013	2	0.114095518242713
