invSize	invnum	invCsome	invEnd	albsigwins	muesigwins	stesigwins	lobsigwins	type	qalb	qlob	qmue	qste	qlessalb	qlesslob	qlessmue	qlessste
1511494	60	Chr12	36215729	0	0	0	0	hap	1	1	1	1	0.82	0.765	0.79	0.88
721308	59	Chr12	24234262	0	0	0	0	hap	1	1	1	1	0.91	0.87	0.855	0.89
89934	58	Chr12	20979788	0	0	0	0	intersp	1	1	1	1	0.995	0.99	0.995	0.995
71936	57	Chr12	20552362	0	0	0	0	intersp	1	1	1	1	0.985	0.99	0.985	0.995
15909094	56	Chr11	21630600	200	170	213	167	hap	0.865	0.965	0.945	0.765	0.135	0.035	0.055	0.235
54319	55	Chr11	37289301	0	0	0	0	hap	1	1	1	1	0.975	0.99	0.98	1
104880	54	Chr10	6840108	0	0	0	0	intersp	1	1	1	1	0.995	0.98	0.975	1
340513	53	Chr10	55765647	0	0	0	0	hap	1	1	1	1	0.955	0.905	0.905	0.945
896162	52	Chr10	54381035	0	0	0	0	hap	1	1	1	1	0.87	0.835	0.8	0.9
546816	51	Chr10	33828931	0	0	0	0	intersp	1	1	1	1	0.95	0.9	0.925	0.945
73884	50	Chr10	29678570	0	0	0	0	hap	1	1	1	1	0.975	0.97	0.975	0.98
6419391	49	Chr10	25457012	78	47	0	133	intersp	0.49	0.635	0.72	1	0.51	0.365	0.28	0.48
12217774	48	Chr09	22027565	62	398	72	219	hap	0.785	0.865	0.835	0.73	0.215	0.135	0.165	0.27
51226	47	Chr09	7610085	0	0	0	0	intersp	1	1	1	1	0.99	1	1	1
295232	46	Chr09	5006687	0	0	0	0	hap	1	1	1	1	0.94	0.9	0.92	0.96
137813	45	Chr09	4588744	0	0	0	0	intersp	1	1	1	1	0.98	0.97	0.95	0.98
2034920	44	Chr09	41809929	0	40	48	0	intersp	1	1	0.255	0.15	0.8	0.63	0.745	0.85
78651	43	Chr09	2464902	0	0	0	0	hap	1	1	1	1	0.99	0.98	0.985	0.995
53669	42	Chr09	17765507	0	5	0	0	intersp	1	1	0	1	0.99	0.985	1	0.995
1474078	41	Chr08	58414468	0	0	0	0	hap	1	1	1	1	0.815	0.72	0.745	0.86
122340	40	Chr08	55996025	0	0	0	0	intersp	1	1	1	1	0.99	0.97	0.965	0.98
181788	39	Chr08	46017978	0	0	0	0	hap	1	1	1	1	0.99	0.97	0.965	0.975
152950	38	Chr08	35210344	0	15	15	0	hap	1	1	0	0	0.975	0.96	1	1
549319	37	Chr07	34075204	0	0	0	3	hap	1	0.12	1	1	0.935	0.88	0.885	0.955
256761	36	Chr07	28621917	0	0	0	0	hap	1	1	1	1	0.96	0.97	0.94	0.975
454871	35	Chr07	11848929	0	0	0	0	hap	1	1	1	1	0.945	0.91	0.9	0.945
2567443	34	Chr06	11382742	0	52	0	0	hap	1	1	0.305	1	0.755	0.65	0.695	0.755
58554	33	Chr06	47492377	0	0	0	0	intersp	1	1	1	1	0.99	0.99	0.985	0.99
10780791	32	Chr06	45709542	51	25	26	69	hap	0.71	0.835	0.86	0.655	0.29	0.165	0.14	0.345
1793852	31	Chr06	17029428	0	13	0	26	hap	1	0.29	0.31	1	0.795	0.71	0.69	0.83
